gameId|teamId|pickTurn|championId
4155124639|100|3|-1
4155124639|100|4|23
4155124639|100|5|107
4155124639|200|6|58
4155124639|200|7|412
4155124639|200|8|103
4155124639|200|9|121
4155124639|200|10|25
4155163819|100|1|84
4155163819|100|2|22
4155163819|100|3|222
4155163819|100|4|75
4155163819|100|5|24
4155163819|200|6|81
4155163819|200|7|238
4155163819|200|8|119
4155163819|200|9|106
4155163819|200|10|420
4155124530|100|1|6
4155124530|100|2|157
4155124530|100|3|111
4155124530|100|4|121
4155124530|100|5|53
4155124530|200|6|55
4155124530|200|7|120
4155124530|200|8|119
4155124530|200|9|45
4155124530|200|10|68
4155124587|100|1|24
4155124587|100|2|157
4155124587|100|3|80
4155124587|100|4|51
4155124587|100|5|37
4155124587|200|6|25
4155124587|200|7|80
4155124587|200|8|99
4155124587|200|9|119
4155124587|200|10|82
4155134307|100|1|157
4155134307|100|2|141
4155134307|100|3|17
4155134307|100|4|81
4155134307|100|5|-1
4155134307|200|6|84
4155134307|200|7|39
4155134307|200|8|22
4155134307|200|9|53
4155134307|200|10|420
4155134267|100|1|119
4155134267|100|2|99
4155134267|100|3|86
4155134267|100|4|84
4155134267|100|5|114
4155134267|200|6|45
4155134267|200|7|420
4155134267|200|8|350
4155134267|200|9|122
4155134267|200|10|141
4155153460|100|1|89
4155153460|100|2|24
4155153460|100|3|157
4155153460|100|4|350
4155153460|100|5|420
4155153460|200|6|36
4155153460|200|7|37
4155153460|200|8|555
4155153460|200|9|122
4155153460|200|10|91
4155153599|100|1|157
4155153599|100|2|238
4155153599|100|3|36
4155153599|100|4|19
4155153599|100|5|53
4155153599|200|6|23
4155153599|200|7|157
4155153599|200|8|350
4155153599|200|9|555
4155153599|200|10|28
4155143581|100|1|122
4155143581|100|2|157
4155143581|100|3|39
4155143581|100|4|82
4155143581|100|5|161
4155143581|200|6|25
4155143581|200|7|80
4155143581|200|8|90
4155143581|200|9|28
4155143581|200|10|82
4155124019|100|1|555
4155124019|100|2|420
4155124019|100|3|102
4155124019|100|4|119
4155124019|100|5|55
4155124019|200|6|103
4155124019|200|7|5
4155124019|200|8|420
4155124019|200|9|53
4155124019|200|10|25
4155143633|100|1|121
4155143633|100|2|238
4155143633|100|3|157
4155143633|100|4|25
4155143633|100|5|99
4155143633|200|6|245
4155143633|200|7|99
4155143633|200|8|24
4155143633|200|9|-1
4155143633|200|10|157
4155153387|100|1|202
4155153387|100|2|25
4155153387|100|3|238
4155153387|100|4|157
4155153387|100|5|11
4155153387|200|6|420
4155153387|200|7|38
4155153387|200|8|555
4155153387|200|9|119
4155153387|200|10|11
4155124096|100|1|103
4155124096|100|2|114
4155124096|100|3|141
4155124096|100|4|25
4155124096|100|5|222
4155124096|200|6|-1
4155124096|200|7|555
4155124096|200|8|102
4155124096|200|9|23
4155124096|200|10|25
4155133803|100|1|238
4155133803|100|2|240
4155133803|100|3|67
4155133803|100|4|223
4155133803|100|5|82
4155133803|200|6|24
4155133803|200|7|80
4155133803|200|8|17
4155133803|200|9|19
4155133803|200|10|90
4155143287|100|1|82
4155143287|100|2|238
4155143287|100|3|145
4155143287|100|4|555
4155143287|100|5|17
4155143287|200|6|18
4155143287|200|7|84
4155143287|200|8|53
