id,name
738,Jordan Bell
354,Rodney McGruder
431,Bobby Portis
2202,Retin Obasohan
1684,Matt Williams Jr.
171,Cristiano Felicio
556,Troy Williams
29,Jeff Ayres
2231,Marjan Cakarun
1904,Justin Wright-Foreman
2121,Matt Farrell
2112,Robert Carter
1120,Nathan Sobey
748,Tony Bradley
1482,Arnoldas Kulboka
2499,Facundo Pinero
928,Kostas Antetokounmpo
751,Sterling Brown
2227,Christ Koumadje
1137,Jiangpeng Duan
1677,Thomas Wilder
1255,Braian Angola Rodas
954,Bonzie Colson
949,Jevon Carter
2376,Moritz Wagner
1829,Isaac Humphries
186,Rudy Gay
1653,Melo Trimble
236,Buddy Hield
1284,Trevon Bluiett
496,Nik Stauskas
1036,Jarred Vanderbilt
167,Kenneth Faried
545,Isaiah Whitehead
920,Ante Zizic
2512,Sek Henry
2143,Amine Noua
68,Avery Bradley
2092,Anthony Lawrence II
1640,Jared Terrell
299,Kyle Korver
1879,Cody Martin
897,Derrick White
2073,Isaiah Pineiro
845,Monte Morris
930,Deandre Ayton
2387,Devontae Cacok
47,Michael Beasley
444,JJ Redick
212,Justin Hamilton
412,Chandler Parsons
20,Giannis Antetokounmpo
1853,Brandon Clarke
18,Kyle Anderson
2094,Dean Wade
119,Allen Crabbe
536,Dwyane Wade
1212,Daryl Macon
1039,Brad Wanamaker
2246,Jiwei Zhao
439,Tim Quarterman
1485,Jock Landale
2230,Roko Badzim
206,JaMychal Green
992,Jairus Lyles
180,Channing Frye
2522,Young James
403,Victor Oladipo
2088,Juwan Morgan
466,JaKarr Sampson
1687,Thomas Wimbush
185,Pau Gasol
2277,Linjian Chen
2068,Kevin McClain
2240,Zeljko Sakic
768,Damyean Dotson
876,Dennis Smith Jr.
957,Tyler Davis
2071,Nick Perkins
1196,Matt Farrell
2241,Kavell Bigby-Williams
169,Derrick Favors
181,Danilo Gallinari
1224,Xavier Rathan-Mayes
880,Edmond Sumner
1000,Codi Miller-McIntyre
2360,Martin Krampelj
401,Daniel Ochefu
258,Joe Ingles
1871,Cameron Johnson
854,Cedi Osman
1845,Nickeil Alexander-Walker
2201,Mychal Mulder
59,Eric Bledsoe
281,Damian Jones
2471,Jerome Randall
1517,Jordan Mathews
510,Isaiah Thomas
1827,Dusty Hannahs
408,Zaza Pachulia
361,Khris Middleton
1132,Shuo Fang
1897,P.J. Washington
1945,Jeremiah Hill
926,Grayson Allen
1344,Markel Crawford
2125,Jaylen Hoard
120,Jamal Crawford
208,Blake Griffin
70,Corey Brewer
2263,Jalen Adams
578,JP Tokoto
547,Shayne Whittington
2077,Zylan Cheatham
873,Kobi Simmons
2090,Marques Bolden
1045,Robert Williams III
1037,Moritz Wagner
2030,Adonis Thomas
373,Marcus Morris Sr.
1420,Pierria Henry
899,D.J. Wilson
459,Ricky Rubio
554,Marvin Williams
1191,Xavier Cooks
579,Jonathan Holmes
1398,Josh Gray
958,Angel Delgado
967,Jacob Evans
1968,Phil Booth
823,Travis Leslie
141,Gorgui Dieng
934,Keita Bates-Diop
760,Antonius Cleveland
12,Al-Farouq Aminu
1917,Aric Holman
2479,Scott Suggs
568,Joe Young
2408,Thanasis Antetokounmpo
537,Dion Waiters
1129,Jarrad Weeks
255,Serge Ibaka
2031,Corey Walden
353,JaVale McGee
2328,William McDowell-White
1247,DeVaughn Akoon Purcell
1432,Tra-Deon Hollins
1007,Kendrick Nunn
1209,Jarrod Jones
1862,Rui Hachimura
549,CJ Wilcox
595,Jarrod Uthoff
2232,Mateo Dreznjak
28,D.J. Augustin
84,Alec Burks
148,Jared Dudley
1861,Kyle Guy
764,Jack Cooley
2404,Javonte Green
347,CJ McCollum
533,Noah Vonleh
2444,Justin Simon
2462,Rafael Hettsheimeir
355,Ben McLemore
216,James Harden
1033,Khyri Thomas
767,Tyler Dorsey
231,Willy Hernangomez
1525,MiKyle McIntosh
256,Andre Iguodala
904,Guerschon Yabusele
331,Trey Lyles
820,Kyle Kuzma
457,Terrence Ross
203,Danny Green
1002,Naz Mitrou-Long
314,Kawhi Leonard
492,Tony Snell
567,James Young
975,Garlon Green
2524,Koperberg Daniel
106,Semaj Christon
1506,Jairus Lyles
2166,Tyler Cook
761,John Collins
807,Amile Jefferson
268,John Jenkins
276,Stanley Johnson
479,Pascal Siakam
55,Nemanja Bjelica
326,Kevin Love
2204,Anzejs Pasecniks
936,Jaron Blossomgame
2075,Javon Bess
1920,Dedric Lawson
346,Sheldon McClellan
23,Trevor Ariza
1008,James Nunnally
295,Michael Kidd-Gilchrist
1610,Issuf Sanon
1877,Terance Mann
2188,Noah Allen
1313,Tony Carr
625,Jalen Jones
866,Devin Robinson
2266,Barry Brown Jr
118,Robert Covington
448,Austin Rivers
36,Harrison Barnes
1533,Isaiah Miles
1130,Aaron Lee Jackson
2040,Luguentz Dort
499,Diamond Stone
2234,Marin Maric
128,Ed Davis
976,Isaac Haas
1847,Darius Bazley
61,Andrew Bogut
2261,Josh Reaves
1004,Darius Morris
381,Xavier Munford
1666,Yuta Watanabe
481,Ben Simmons
1122,Anthony Drmic
1507,Scott Machado
33,Wade Baldwin IV
977,Johnny Hamilton
94,Vince Carter
428,Jakob Poeltl
944,Bruce Brown
1909,Bryce Brown
884,Milos Teodosic
1053,Mitchell Creek
844,Jaylen Morris
740,Jabari Bird
963,Luka Doncic
35,J.J. Barea
2523,Sorkin Roman
1197,Marcus Foster
2391,Chris Silva
260,Brandon Ingram
1408,Johnny Hamilton
